realtime,behaviour
14:31:05.243 ,Feeding
15:13:55.000 ,Sedintary
15:16:28.000 ,Ambulating
15:45:15.000 ,Sedintary
15:55:00.000 ,Ambulating
16:10:10.000 ,Sedintary
16:20:10.000 ,Ambulating
16:21:33.000 ,Sedintary
16:34:46.000 ,Ambulating
16:50:03.000 ,Sedintary
17:02:27.000 ,Ambulating
17:06:46.000 ,Sedintary
17:33:55.000 ,Ambulating
17:44:06.000 ,Sedintary
18:07:07.000 ,Ambulating
18:15:06.000 ,Sedintary
18:44:21.000 ,Ambulating
18:49:38.000 ,Sedintary
19:19:15.000 ,Ambulating
19:17:33.000 ,Sedintary
20:32:00.000 ,Ambulating
20:37:04.000 ,Sedintary
22:10:24.000 ,Ambulating
22:24:45.000 ,Sedintary
23:24:16.000 ,Ambulating
23:29:55.000 ,Sedintary 
01:34:31.000 ,Ambulating
01:47:00.000 ,Sedintary
03:25:11.000 ,Ambulating
03:29:09.000 ,Sedintary
05:13:53.000 ,Ambulating
05:41:01.000 ,Sedintary
05:55:56.000 ,Ambulating
05:57:47.000 ,Sedintary
06:40:52.000 ,Sedintary
06:46:36.000 ,Ambulating
06:55:49.000 ,Sedintary
07:25:32.000 ,Feeding
07:27:15.000 ,Ambulating
07:46:59.000 ,Ambulating
08:51:04.000 ,Sedintary
10:00:10.000 ,Ambulating
10:51:35.000 ,Sedintary
11:17:19.000 ,Ambulating
11:28:49.000 ,Feeding
11:58:15.000 ,Ambulating
12:16:40.000 ,Sedintary
12:58:35.000 ,Ambulating
14:21:47.000 ,Feeding
14:23:36.000 ,Ambulating
14:43:47.000 ,Sedintary
15:09:21.000 ,Ambulating
15:12:54.000 ,Sedintary
16:23:29.000 ,Ambulating
16:36:46.000 ,Sedintary
17:29:43.000 ,Ambulating
17:43:21.000 ,Sedintary
18:37:02.000 ,Ambulating
18:40:02.000 ,Sedintary
18:59:29.000 ,Ambulating
19:04:19.000 ,Sedintary
20:10:30.000 ,Ambulating
20:13:00.000 ,Sedintary
20:25:38.000 ,Ambulating
20:28:56.000 ,Sedintary
22:05:43.000 ,Ambulating
22:07:30.000 ,Sedintary
23:09:13.000 ,Ambulating
23:10:23.000 ,Sedintary
23:47:08.000 ,Ambulating
23:52:07.000 ,Sedintary
23:54:22.000 ,Ambulating
00:04:11.000 ,Sedintary
00:05:00.000 ,Ambulating
00:17:44.000 ,Sedintary
02:35:39.000 ,Ambulating
02:39:50.000 ,Sedintary
05:00:44.000 ,Ambulating
05:01:15.000 ,Sedintary
06:11:54.000 ,Ambulating
06:12:49.000 ,Sedintary
07:05:36.000 ,Ambulating
07:17:15.000 ,Sedintary
07:48:10.000 ,Ambulating
08:20:53.000 ,Anestizia Administered
08:32:55.000 ,Anestitized
